Points_0,Points_1,Points_2,qr
0.878,1,0.05,10698.2
0.879,1,0.05,10684.8
0.88,1,0.05,10671.3
0.881,1,0.05,10657.9
0.882,1,0.05,10644.4
0.883,1,0.05,10631
0.884,1,0.05,10617.5
0.885,1,0.05,10604.1
0.886,1,0.05,10590.6
0.887,1,0.05,10577.1
0.888,1,0.05,10563.7
0.889,1,0.05,10550.2
0.89,1,0.05,10536.8
0.891,1,0.05,10523.3
0.892,1,0.05,10509.9
0.893,1,0.05,10496.4
0.894,1,0.05,10483
0.895,1,0.05,10469.5
0.896,1,0.05,10456.1
0.897,1,0.05,10442.6
0.898,1,0.05,10429.2
0.899,1,0.05,10415.7
0.9,1,0.05,10402.2
0.901,1,0.05,10386.8
0.902,1,0.05,10371.4
0.903,1,0.05,10355.9
0.904,1,0.05,10340.5
0.905,1,0.05,10325
0.906,1,0.05,10309.6
0.907,1,0.05,10294.2
0.908,1,0.05,10278.7
0.909,1,0.05,10263.3
0.91,1,0.05,10247.8
0.911,1,0.05,10232.4
0.912,1,0.05,10216.9
0.913,1,0.05,10201.5
0.914,1,0.05,10186.1
0.915,1,0.05,10170.6
0.916,1,0.05,10155.2
0.917,1,0.05,10139.7
0.918,1,0.05,10124.3
0.919,1,0.05,10108.8
0.92,1,0.05,10093.4
0.921,1,0.05,10078
0.922,1,0.05,10062.5
0.923,1,0.05,10047.1
0.924,1,0.05,10031.6
0.925,1,0.05,10016.2
0.926,1,0.05,10000.7
0.927,1,0.05,9985.3
0.928,1,0.05,9969.86
0.929,1,0.05,9954.41
0.93,1,0.05,9938.97
0.931,1,0.05,9923.53
0.932,1,0.05,9908.09
0.933,1,0.05,9892.64
0.934,1,0.05,9874.79
0.935,1,0.05,9855.73
0.936,1,0.05,9836.68
