Points_0,Points_1,Points_2,Points_Magnitude,qem,qin,qr
0.429,0,0.05,0.431904,-3544.01,24725.2,21181.2
0.43,0,0.05,0.432897,-3544.01,24728.3,21184.3
0.431,0,0.05,0.433891,-3544.01,24731.3,21187.3
0.432,0,0.05,0.434884,-3544.01,24734.4,21190.4
0.433,0,0.05,0.435877,-3544.01,24737.5,21193.5
0.434,0,0.05,0.436871,-3544.01,24740.6,21196.6
0.435,0,0.05,0.437864,-3544.01,24743.6,21199.6
0.436,0,0.05,0.438858,-3544.01,24746.7,21202.7
0.437,0,0.05,0.439851,-3544.01,24749.8,21205.8
0.438,0,0.05,0.440845,-3544.01,24752.8,21208.8
0.439,0,0.05,0.441838,-3544.01,24755.9,21211.9
0.44,0,0.05,0.442832,-3544.01,24759,21215
0.441,0,0.05,0.443825,-3544.01,24762.1,21218.1
0.442,0,0.05,0.444819,-3544.01,24765.1,21221.1
0.443,0,0.05,0.445813,-3544.01,24768.2,21224.2
0.444,0,0.05,0.446806,-3544.01,24771.3,21227.3
0.445,0,0.05,0.4478,-3544.01,24774.3,21230.3
0.446,0,0.05,0.448794,-3544.01,24777.4,21233.4
0.447,0,0.05,0.449788,-3544.01,24780.5,21236.5
